Tweets,Id,Length,Retweets,Date,Source,Likes,Sentiment
"We touch our hair 96 times a day on average, transferring bacteria, dirt and grease from our hands unknowingly. I u… https://t.co/VzaNhEWXFr",1296854578726490112,140,2975,2020-08-21 17:00:00,Twitter Media Studio,44036,-1
Happy to share these beautiful moments with you! 👩‍❤️‍👨😘 https://t.co/8P2GJcFihf,1293546832098926592,80,18684,2020-08-12 13:56:12,Twitter for iPhone,429301,1
On board🛥😉 https://t.co/IhvlsFdGep,1292861675276840961,34,26278,2020-08-10 16:33:38,Twitter for iPhone,494759,0
"The beautiful competition is back! 💪🏼 
#UCL #finoallafine #forzajuve https://t.co/mSiPVEDpT5",1291442827965140994,92,13673,2020-08-06 18:35:38,Twitter for iPhone,209794,1
Feeling loved ❤️😘 https://t.co/pIBtQtcAcz,1291343231603617793,41,16326,2020-08-06 11:59:53,Twitter for iPhone,354649,1
Team work 🤜🏼🤛🏼 https://t.co/zQbWoqjLHq,1290222132522229760,38,10098,2020-08-03 09:45:02,Twitter for iPhone,208028,0
"Staying healthy and hygienic is important. 
Don’t forget keep your hair, scalp &amp; body clean daily. 
@CLEARIndonesia… https://t.co/dhteHYFikr",1289290174510166016,144,2122,2020-07-31 20:01:46,Twitter for iPhone,35349,1
"I’m ready to chase the sun with my brand new Eyewear Collection!
See all about my partnership with… https://t.co/hHLNSgFGri",1288157471274565634,123,7208,2020-07-28 17:00:48,Twitter for iPhone,121838,1
A very important victory! We’re almost there guys! Let’s go 💪🏼💪🏼 #FinoAllaFine #forzajuve https://t.co/thSo8N5PgN,1285342214353309696,113,17532,2020-07-20 22:33:59,Twitter for iPhone,219202,1
Good nutrition is at the core of my success. What’s yours? #HerbalifeNutrition https://t.co/dMX4d7dQOY,1284453189178228738,102,4986,2020-07-18 11:41:18,Twitter for iPhone,78253,1
Make your dreams come true always with special company! 😀❤️🙏 https://t.co/iVCI0WMkJ9,1284169747039498242,84,23257,2020-07-17 16:55:01,Twitter for iPhone,361523,1
Relaxing and lovely moments 🌊☀️💙 https://t.co/7zz1yszNJP,1282733116487077889,56,16536,2020-07-13 17:46:21,Twitter for iPhone,395619,1
A difficult game but a very important point. Keep on fighting until the end 💪🏼 #FinoAllaFine https://t.co/UfB0HwgFxt,1282085885014683659,116,12341,2020-07-11 22:54:29,Twitter for iPhone,189464,-1
Faz hoje 4 anos que vivemos um dia histórico e único para todos nós! Para mim foi sem dúvida o título mais importan… https://t.co/1pLvAeGs1N,1281545016016592896,140,22643,2020-07-10 11:05:16,Twitter for iPhone,195072,0
Recharge 🔋☀️😉💪🏼 https://t.co/0lgeJdbsBL,1281280238496948224,39,18181,2020-07-09 17:33:08,Twitter for iPhone,389535,0
I love this feeling 😉💪🏼 https://t.co/Aj6uHZfUjF,1279522588952313856,47,40710,2020-07-04 21:08:52,Twitter for iPhone,501593,1
Grande vittoria! Abbiamo bisogno di questo spirito... FINO ALLA FINE 💪🏼👏🏼 https://t.co/WyhD4JnVDF,1279477154145800193,97,22461,2020-07-04 18:08:19,Twitter for iPhone,269247,1
What do you think about my look like my brother Panita ?! 🤔🤪 https://t.co/OUpYQApFfT,1277679310824931336,84,19970,2020-06-29 19:04:20,Twitter for iPhone,378895,0
Starting the weekend with a good vibe and a good style🤪 https://t.co/EXHMtk25UT,1276854132939173889,79,22496,2020-06-27 12:25:22,Twitter for iPhone,353179,1
Vittoria importante! Grandi ragazzi! 👏🏼💪🏼 #finoallafine https://t.co/k4JMrV4pt4,1276642553203494913,79,11595,2020-06-26 22:24:38,Twitter for iPhone,175396,0
Enjoying this beautiful sunset 😃👌🏻🌅 #torino https://t.co/TjPlusRJiX,1276219288689553409,67,10439,2020-06-25 18:22:44,Twitter for iPhone,224655,1
"Never give up, always focused on the next step...All together 💪🏼 #finoallafine https://t.co/uBITkFZaar",1274784439554453505,102,14386,2020-06-21 19:21:09,Twitter for iPhone,241398,0
Nem quero acreditar que o meu menino já tem 10 anos! Como o tempo passou... e desde sempre foste motivo de orgulho… https://t.co/ltJLbTyHN8,1273179231388917761,139,17890,2020-06-17 09:02:37,Twitter for iPhone,351137,0
Get some Vitamin D ☀️ https://t.co/Y86OHwZj3b,1272585066267447297,45,12975,2020-06-15 17:41:37,Twitter for iPhone,313417,0
"Wherever you are, we'll always be together 💪🏼#FinoAllaFine #ForzaJuve https://t.co/BQPJ5fRcMD",1271437543821783040,93,20542,2020-06-12 13:41:47,Twitter for iPhone,262146,0
Have a nice day 😉👌🏻 #thursdaystyle https://t.co/HC21fCptQI,1271070983768727553,58,19745,2020-06-11 13:25:12,Twitter for iPhone,359618,1
Monday motivation!💪🏻 The Competition is coming ⚽️😀 https://t.co/mdVq45pz8s,1269950519029743618,74,15093,2020-06-08 11:12:52,Twitter for iPhone,225804,0
Let’s rise to the challenge. What are you doing to #ComeBackStronger? Take part in the #ClearResilienceChallenge at… https://t.co/LHMAVdCQca,1268966282759745536,140,2723,2020-06-05 18:01:52,Twitter for iPhone,42384,0
Happy Birthday to my two sweeties Eva and Mateo! 👧🏻🎉👶🏻🎉 We love you to the end of the world💕🙏 #prouddad https://t.co/0YnvN2QxNy,1268849407358832641,127,18953,2020-06-05 10:17:27,Twitter for iPhone,319760,1
I fall in love every time I see these two😍🙌👨‍👧‍👧 #dadysgirls https://t.co/0rPaSsAhnh,1268143615697715200,84,16845,2020-06-03 11:32:53,Twitter for iPhone,336751,1
